tx_frequency,conversion_rate,tx_count,label
0.0,1.0,9,0
0.0,0.868,5,0
0.0,0.8226,4,0
0.0354,1.0,21,0
0.0,0.5308,0,0
0.1354,0.6046,11,0
0.0371,0.5182,8,0
0.8495,0.375,8,0
0.0945,0.9645,10,0
1.7648,0.8957,4,0
0.0,0.8934,1,0
0.0,0.7073,3,0
1.42,0.8716,13,0
0.0,1.0,11,0
0.578,0.8711,6,0
0.7059,1.0,10,0
0.9193,0.8891,9,0
0.776,0.523,10,0
1.5979,0.0622,11,1
1.4558,1.0,12,0
0.891,0.3489,4,0
1.3372,0.9746,5,0
0.0,0.8692,0,0
0.0,0.8525,0,0
0.7969,0.2849,7,1
0.2132,1.0,5,0
0.0117,0.4372,11,0
1.7948,0.9769,12,0
0.0,0.9329,7,0
1.3357,0.7875,14,0
0.0,0.9757,1,0
0.1227,0.0791,9,1
2.364,0.82,12,0
0.5734,0.4387,5,0
0.0,0.9826,6,0
2.2183,0.8299,11,0
0.5014,0.352,13,0
0.0,0.2363,3,1
2.3926,0.5287,5,0
1.0169,0.0495,9,1
0.0,1.0,5,0
1.9183,0.3244,13,0
0.5285,0.5442,0,0
0.2835,1.0,3,0
5.178,0.3048,5,0
4.3992,0.3979,14,0
0.0,0.7859,8,0
0.0,0.9456,15,0
1.5105,0.9291,16,0
0.9635,0.2636,13,1
1.1428,0.6904,11,0
1.1301,1.0,12,0
1.2012,0.8144,1,0
1.2613,1.0,3,0
0.0,0.8566,6,0
1.2617,0.8393,8,0
0.0,0.7064,13,0
0.221,0.5674,3,0
0.7126,0.9495,6,0
0.0,0.781,5,0
1.0619,0.9516,10,0
0.0,1.0,6,0
1.1383,0.9935,2,0
0.0,0.9233,0,0
0.0,0.8084,2,0
0.8713,0.3042,10,0
3.1189,0.1778,12,1
0.0,0.9967,7,0
0.0,1.0,0,0
0.0,0.8074,11,0
0.5071,0.8802,9,0
0.4965,0.3234,8,0
1.2994,0.44,3,0
0.0017,0.2074,15,1
1.3808,0.8041,9,0
0.6809,1.0,9,0
0.0,0.9405,9,0
0.0,0.8843,6,0
0.0,0.8903,1,0
0.0,0.9506,7,0
0.0496,0.1493,11,1
1.6916,0.7977,23,0
0.7278,0.8356,7,0
5.2866,0.3832,11,0
0.0,0.8356,6,0
1.2934,0.8689,0,0
4.872,0.0884,7,1
0.3796,0.7841,2,0
1.0556,0.7924,13,0
0.0,0.8283,8,0
0.0,0.7071,0,0
0.1322,0.2192,4,1
2.0103,1.0,4,0
0.2558,0.4439,11,0
0.6233,0.6071,12,0
0.0,0.8687,10,0
0.0,0.9389,7,0
0.0,0.7504,13,0
1.9476,0.2542,10,1
0.5065,0.2553,9,1
1.5634,0.066,12,1
2.1056,0.3813,10,0
0.6328,0.8494,17,0
0.3392,0.1503,10,1
2.245,0.4155,15,0
0.0,1.0,11,0
0.0,0.5792,3,0
0.0,0.58,10,0
0.406,1.0,9,0
3.6097,0.3005,12,0
0.1273,0.2116,14,1
0.0,0.9362,0,0
0.0047,0.668,14,0
3.6331,0.0741,9,1
0.7444,0.0189,12,1
0.0,0.7855,12,0
0.0,0.6688,13,0
0.0,0.6347,9,0
0.0,0.8724,11,0
0.0,1.0,9,0
0.0,1.0,0,0
0.7745,0.3794,18,0
0.0,0.6399,9,0
0.8875,0.8588,12,0
1.582,0.8651,7,0
0.2877,1.0,7,0
2.705,0.7105,11,0
0.0,0.6902,8,0
0.0,0.9028,3,0
0.0,0.968,2,0
1.4482,0.7852,8,0
0.0,1.0,2,0
0.0,1.0,2,0
0.2704,0.9123,0,0
1.0875,1.0,9,0
0.2714,0.9839,9,0
0.0839,0.9878,16,0
1.3963,1.0,11,0
1.0493,0.0296,11,1
1.4721,0.6992,6,0
0.0,1.0,6,0
0.6127,0.2214,13,1
0.0,1.0,6,0
1.0725,0.8361,2,0
0.0,0.8868,11,0
0.0,1.0,5,0
0.7112,0.9975,15,0
2.2167,0.4671,7,0
0.6652,0.8172,8,0
0.6293,0.9722,7,0
1.1446,0.6178,4,0
2.9034,0.987,16,0
0.4068,0.1697,13,1
0.8897,0.408,8,0
0.9408,0.8921,17,0
2.6288,0.3202,8,0
0.0973,0.9646,6,0
1.1602,0.7935,8,0
0.0,0.8641,5,0
0.3866,1.0,7,0
0.0,0.7507,2,0
0.0,0.787,13,0
0.0,0.6497,7,0
1.8382,0.341,5,0
2.6421,0.609,6,0
0.0,0.9028,7,0
0.0,1.0,10,0
0.349,0.2535,5,1
0.7089,0.8813,6,0
0.0,0.8993,1,0
0.115,0.261,9,1
0.7209,1.0,10,0
2.9372,0.3254,11,0
0.2581,0.8004,10,0
2.7351,0.4175,8,0
5.1852,0.34,16,0
0.0,0.8006,13,0
0.9856,0.7715,8,0
1.8553,1.0,7,0
1.8022,0.1402,10,1
0.4885,0.3565,12,0
1.5239,0.6366,0,0
3.183,0.1104,6,1
0.1137,0.7705,6,0
0.0,0.6801,0,0
2.3121,0.9351,2,0
1.354,0.3324,11,0
0.4067,0.1356,12,1
2.5926,0.6701,10,0
1.1749,0.2667,11,1
0.9675,0.6645,9,0
0.9653,0.1263,6,1
0.1448,0.1112,12,1
0.0,0.4467,6,0
0.3577,0.7297,0,0
0.8424,0.802,13,0
0.0,1.0,5,0
0.2754,0.1763,7,1
1.0069,0.5017,12,0
0.0,1.0,3,0
0.831,0.6689,5,0
0.0,0.7361,0,0
1.3129,0.8428,8,0
2.2248,0.2899,12,1
1.5105,0.3226,16,0
0.0,0.7356,18,0
1.5102,0.7874,2,0
0.4411,0.1694,13,1
0.0,0.7975,10,0
0.0,0.5131,9,0
0.0,1.0,2,0
0.0,1.0,3,0
0.0,0.9694,0,0
0.0,0.7047,0,0
0.0753,0.3747,10,0
0.0,0.6956,12,0
0.6092,0.8325,15,0
0.8318,0.6382,10,0
0.2127,0.8903,3,0
0.8099,1.0,0,0
0.0,0.9393,6,0
6.5781,0.1445,16,1
1.838,0.4241,4,0
0.5189,0.7459,9,0
0.0,0.9264,8,0
0.7257,0.7213,11,0
4.864,0.1784,7,1
0.6784,0.6095,9,0
0.6725,0.8609,14,0
2.5582,0.5009,9,0
0.0593,0.2304,11,1
0.0,0.9459,0,0
0.0,0.5223,4,0
1.2254,0.6914,10,0
0.0,0.9242,9,0
1.7279,0.1587,6,1
1.4496,0.7963,8,0
0.5256,0.8186,10,0
1.2265,1.0,16,0
0.2155,0.83,16,0
0.0,1.0,14,0
0.4845,0.879,13,0
0.8205,0.2573,8,1
0.7781,0.5662,17,0
0.3212,0.8589,11,0
3.1857,0.2283,12,1
5.8898,0.4358,5,0
0.6488,0.6718,8,0
3.6771,0.0685,8,1
0.3536,0.5299,4,0
1.1122,0.8522,0,0
0.1367,0.8692,4,0
0.0,0.8532,11,0
1.417,0.7152,5,0
2.3497,0.5894,6,0
0.3522,0.7853,2,0
0.0,0.9204,0,0
2.4417,1.0,10,0
0.0,0.9918,3,0
0.0,1.0,13,0
0.0629,0.4214,11,0
1.1842,0.102,13,1
0.9996,0.2079,12,1
0.5886,0.9355,2,0
0.5512,0.7064,17,0
1.3467,0.7346,11,0
0.4381,0.1883,10,1
1.3599,0.67,8,0
0.0,1.0,4,0
0.4906,0.6249,5,0
0.187,0.5819,11,0
0.0,1.0,15,0
0.0,0.6688,3,0
0.0,0.7613,3,0
0.531,0.1114,12,1
1.8631,0.6184,18,0
0.0,0.7947,24,0
0.1269,0.9169,19,0
0.5416,0.9249,1,0
2.1915,1.0,6,0
0.6862,0.1646,11,1
2.1573,0.0592,9,1
0.0,0.838,10,0
0.0,0.8882,2,0
0.0,0.7383,7,0
3.9189,0.1753,9,1
0.6169,0.7179,17,0
0.0508,1.0,23,0
1.0948,0.857,12,0
0.3155,0.6998,3,0
0.9782,0.8813,14,0
0.7486,0.9936,10,0
0.0,1.0,4,0
1.5288,0.7658,7,0
0.0,0.6907,9,0
1.5898,0.8377,13,0
2.2066,0.7543,8,0
0.9406,0.9489,12,0
0.8293,1.0,11,0
3.2283,0.2396,13,1
1.4451,0.115,7,1
0.2845,0.3235,13,0
2.2718,0.3359,5,0
0.239,0.2645,11,1
0.0658,0.2274,6,1
4.5586,0.6156,9,0
1.2881,0.3361,9,0
0.5006,0.0527,5,1
1.8907,0.8844,20,0
3.8092,0.492,13,0
0.7001,0.2857,14,1
0.8095,0.9095,5,0
0.1806,0.8784,9,0
0.0,1.0,11,0
2.7298,1.0,19,0
0.6996,0.2443,9,1
0.0,1.0,3,0
1.4677,0.8059,2,0
0.0556,0.4727,6,0
0.0,0.91,9,0
0.0,0.7104,4,0
0.27,0.7052,0,0
10.5195,0.3673,8,1
0.0,0.751,10,0
1.642,0.4791,9,0
1.7538,0.4603,11,0
4.1827,0.0768,8,1
1.3384,0.142,11,1
0.4679,0.7211,7,0
0.3408,1.0,17,0
1.4135,0.8105,3,0
2.6212,0.5979,10,0
0.0,0.7107,3,0
1.1287,0.6986,11,0
0.8252,1.0,0,0
2.2555,0.9628,4,0
2.4525,0.2939,6,1
0.0,0.855,12,0
4.2302,0.5188,12,0
0.0,0.8932,0,0
0.8262,0.1017,13,1
0.4136,0.2216,11,1
0.0,0.7904,0,0
0.2146,0.7885,9,0
0.4794,0.5375,1,0
0.0,0.8021,18,0
0.8273,0.7392,4,0
5.7622,0.2024,7,1
3.8368,0.1902,7,1
0.257,1.0,6,0
0.4619,0.0225,14,1
1.214,0.6009,14,0
0.0,0.9686,0,0
2.5693,0.3137,17,0
2.3397,0.8118,7,0
2.2811,0.5362,6,0
3.3107,0.4392,9,0
1.1934,0.8249,1,0
9.4549,0.4083,9,0
3.2292,0.225,11,1
0.814,0.7662,0,0
1.9158,0.2273,11,1
3.5193,0.261,9,1
0.3447,0.4034,11,0
0.4096,0.1148,12,1
0.0,0.6213,3,0
0.0,0.9013,3,0
0.0,1.0,7,0
1.4811,0.8368,12,0
2.2176,0.2996,17,1
0.0,0.7341,7,0
0.4965,1.0,13,0
0.9297,0.1752,14,1
0.217,0.8354,13,0
2.0577,0.6022,5,0
3.8515,0.4703,10,0
1.3291,0.2165,9,1
1.852,0.8553,0,0
0.0842,0.2412,11,1
0.7968,0.2567,8,1
1.2128,1.0,6,0
0.9251,0.5359,14,0
3.3822,0.0563,5,1
3.7056,0.0818,15,1
0.4135,0.3701,18,0
4.6566,0.2108,9,1
0.2731,0.744,7,0
4.0267,0.5599,9,0
3.4049,0.1497,12,1
0.3964,0.9095,0,0
0.2289,0.8685,8,0
0.5736,0.5395,13,0
0.0,1.0,8,0
0.0,0.6743,0,0
3.1096,0.265,12,1
0.2877,1.0,5,0
0.0,0.9508,4,0
0.8474,0.9173,12,0
0.8745,1.0,0,0
0.3776,0.4753,9,0
0.0,0.9598,1,0
0.0,0.6819,4,0
1.2048,1.0,0,0
3.3799,0.0126,13,1
0.0,0.8352,11,0
1.0798,0.6974,16,0
1.2578,0.6828,4,0
2.1132,0.5265,15,0
0.9242,0.4056,0,0
0.0,0.4007,8,0
0.3482,0.4574,5,0
0.8055,0.2822,12,1
0.0,0.8784,11,0
0.369,0.2176,7,1
0.0665,0.3946,6,0
0.3511,0.9921,11,0
0.0,0.6718,17,0
0.0,0.9521,21,0
0.1318,0.3055,11,0
1.2882,1.0,4,0
1.3947,0.7202,9,0
0.0,0.898,9,0
0.8161,1.0,12,0
5.5547,0.213,15,1
1.9412,0.7257,6,0
0.7551,0.0465,12,1
2.1363,0.1031,9,1
3.2169,0.2254,10,1
0.0751,0.0419,11,1
0.0,0.9224,10,0
0.7821,1.0,0,0
1.5105,1.0,4,0
2.7185,0.253,8,1
0.609,0.6212,7,0
1.3087,0.7049,12,0
0.0,0.786,1,0
2.0835,0.1359,10,1
0.5892,0.926,7,0
0.0,0.8267,18,0
0.9149,0.4835,10,0
0.4003,0.9248,11,0
1.5048,0.2064,10,1
0.0,0.9229,1,0
0.0,0.7166,8,0
2.4704,0.3304,11,0
2.1334,0.3858,11,0
0.1377,0.2589,12,1
0.0078,1.0,12,0
1.0957,1.0,10,0
2.4232,0.785,7,0
0.7693,0.055,9,1
0.3162,0.186,15,1
0.3091,0.3306,8,0
0.3648,1.0,5,0
0.8446,1.0,24,0
1.596,0.8209,0,0
0.3217,0.8302,9,0
0.9314,0.4769,1,0
4.4383,0.0226,8,1
0.0,0.614,21,0
0.059,0.2175,9,1
1.5139,0.1892,8,1
0.9311,0.2178,6,1
0.2962,0.912,0,0
2.3048,0.7742,15,0
1.8706,0.9754,12,0
0.0,0.6823,4,0
0.1949,1.0,0,0
2.8176,0.0879,4,1
0.0,0.726,16,0
0.8833,0.664,11,0
0.5029,1.0,13,0
0.7166,0.9587,6,0
1.4826,0.4465,5,0
0.2089,0.862,13,0
1.5167,0.1896,10,1
0.6641,0.8098,11,0
0.7723,0.7641,0,0
0.8303,0.5852,12,0
0.5865,0.8835,12,0
0.0,0.7885,18,0
0.0,1.0,2,0
3.3918,0.214,11,1
0.0,1.0,16,0
2.3322,0.9343,11,0
0.0,0.8291,9,0
0.2533,0.7424,14,0
6.4334,0.3263,8,0
0.0993,0.9556,3,0
1.9128,0.2053,9,1
1.6928,1.0,7,0
0.9291,0.2073,9,1
2.0443,1.0,10,0
0.0,0.9159,1,0
0.0,0.8393,1,0
1.2981,1.0,5,0
0.3227,0.9076,6,0
0.0,0.6595,0,0
1.4759,0.6593,4,0
0.9252,0.0782,11,1
6.3241,0.2645,8,1
0.0,0.8999,4,0
3.6256,0.3742,11,0
0.0,0.4763,13,0
0.0,0.8392,9,0
0.0,1.0,15,0
0.2699,1.0,8,0
0.1363,0.9036,8,0
0.9861,0.4832,7,0
0.3269,0.6103,7,0
0.0,0.7471,3,0
0.1778,0.808,20,0
0.0,1.0,20,0
0.0,0.6097,4,0
0.0,0.6121,5,0
0.0,0.9524,6,0
0.7048,0.8335,6,0
0.4056,0.8331,19,0
0.0,0.8252,3,0
0.0,0.4463,3,0
0.5046,1.0,15,0
0.2719,0.4843,12,0
0.5136,1.0,9,0
0.3219,0.5836,7,0
0.0,0.7969,17,0
4.5292,0.0564,11,1
1.8674,1.0,10,0
1.6329,0.9072,7,0
0.5007,0.1003,11,1
1.6296,0.4179,12,0
2.1239,0.5034,13,0
2.3943,0.678,11,0
0.007,0.8019,19,0
0.0,0.8179,7,0
0.6393,0.1204,8,1
2.985,0.225,10,1
3.4495,0.4318,20,0
1.8521,0.7847,0,0
0.2963,0.8805,0,0
5.8796,0.0635,10,1
0.0,0.8077,1,0
0.0,0.775,6,0
1.141,0.6793,5,0
0.0,0.7844,1,0
1.6458,0.1386,9,1
0.5715,1.0,12,0
3.1979,0.3098,7,0
0.0531,0.9274,16,0
0.0524,0.6721,17,0
2.6632,0.2462,10,1
0.0,1.0,8,0
2.8005,0.2602,13,1
0.0,0.8263,0,0
0.566,1.0,17,0
0.9638,0.6141,5,0
0.8081,0.4228,7,0
0.2891,0.1303,6,1
0.0,0.787,10,0
0.4249,0.8281,0,0
0.971,0.5463,10,0
0.0,0.9833,7,0
1.2753,0.7843,6,0
2.8535,0.6836,12,0
0.8517,1.0,12,0
1.4399,0.7343,13,0
1.6777,0.0609,5,1
1.0377,0.6831,7,0
1.2588,1.0,14,0
0.0,0.9522,9,0
2.9754,0.1882,12,1
0.8425,0.9404,11,0
0.4231,1.0,3,0
0.8619,1.0,7,0
0.2421,0.1692,9,1
0.0,1.0,9,0
0.4745,0.5909,10,0
0.0,0.4064,4,0
2.5168,1.0,0,0
0.0095,1.0,0,0
2.678,1.0,4,0
2.2507,0.3848,7,0
1.2515,0.7493,7,0
2.4896,0.0453,15,1
1.417,0.4905,4,0
0.0,0.8648,14,0
0.0,0.6496,5,0
0.0,1.0,5,0
1.9602,0.4048,8,0
1.6136,0.9063,2,0
0.5384,0.2919,12,1
0.416,0.9114,2,0
0.0,0.713,10,0
1.1978,0.4017,10,0
0.0,1.0,10,0
0.0,0.8157,3,0
0.0,0.7802,6,0
0.0,0.9063,16,0
1.4755,0.8699,8,0
1.0778,0.1336,12,1
0.5293,0.4961,9,0
1.3998,0.9505,5,0
0.0,0.6098,3,0
0.3833,0.496,11,0
0.0,1.0,12,0
0.5587,0.8205,4,0
0.0,0.7003,8,0
4.3399,0.078,10,1
1.2027,0.5744,3,0
2.4435,0.3924,10,0
1.0004,0.489,0,0
1.6694,0.6898,5,0
0.0,0.8047,8,0
0.0597,0.5737,7,0
0.5002,0.9376,8,0
4.0223,0.2283,12,1
1.4934,0.2777,14,1
1.3893,0.7729,16,0
2.3429,0.2055,9,1
0.0,0.8388,17,0
0.2057,0.2256,6,1
0.0,0.7792,5,0
0.7741,0.6555,12,0
0.1713,0.8103,8,0
0.0,0.6871,17,0
0.3423,0.1015,8,1
0.0,0.9192,9,0
1.1552,0.9059,9,0
1.2148,0.0988,14,1
1.5977,0.2199,8,1
0.1685,0.907,10,0
0.0,0.73,4,0
0.0,0.6371,16,0
0.7484,0.2436,7,1
0.0784,0.9955,10,0
0.0,0.9037,16,0
0.0,0.962,6,0
2.0169,1.0,13,0
1.2801,0.1546,10,1
0.1944,1.0,12,0
3.9405,0.0646,10,1
0.995,1.0,7,0
4.0852,0.355,8,0
1.6493,0.3522,13,0
0.7409,0.8762,10,0
0.0,0.8327,2,0
0.7947,0.6443,21,0
0.2674,0.8073,8,0
0.0,0.9585,16,0
2.617,0.6112,8,0
0.0,0.9009,8,0
0.9474,0.3303,8,0
0.3139,0.413,8,0
0.0,0.7607,10,0
0.7147,0.1566,9,1
0.0,1.0,7,0
0.0,0.7632,7,0
1.0773,0.9657,9,0
0.9746,0.8722,13,0
0.6237,0.9086,6,0
1.1443,0.7461,10,0
0.2731,0.3659,5,0
0.7446,0.8108,3,0
2.4158,1.0,6,0
0.0,1.0,0,0
0.5261,0.8662,19,0
0.3008,0.7508,24,0
0.0,0.7277,5,0
0.0,0.8334,11,0
0.0,1.0,5,0
0.9175,0.9056,19,0
0.2329,0.6734,3,0
0.0,0.835,15,0
4.6173,0.2474,8,1
0.0,0.6355,0,0
6.264,0.1609,7,1
1.7497,0.9703,17,0
0.0,0.697,4,0
3.4843,0.1118,11,1
1.0019,0.6966,17,0
0.0,0.9185,14,0
0.0,1.0,12,0
0.2915,0.2943,9,1
0.0,0.377,14,0
0.1913,0.6571,16,0
0.0,0.6793,0,0
1.3817,0.1138,23,1
0.8153,0.8293,3,0
0.3092,0.5606,7,0
1.2848,0.8896,6,0
0.1497,0.5531,12,0
0.825,1.0,5,0
0.5587,0.6987,0,0
0.1382,1.0,0,0
0.0,0.866,10,0
0.5709,0.9326,8,0
1.1992,0.2197,11,1
0.4096,1.0,9,0
0.8573,0.75,0,0
0.0,0.7952,8,0
5.0916,0.0709,14,1
0.0023,0.8425,7,0
2.9909,0.2424,9,1
1.6314,0.6441,13,0
0.2747,0.6932,4,0
1.2365,1.0,3,0
0.8937,1.0,14,0
1.0221,0.7274,9,0
1.788,0.2833,12,1
1.0723,0.8759,9,0
2.2983,0.4907,9,0
0.0094,1.0,10,0
1.3857,0.8442,6,0
0.0,0.7854,7,0
0.0,0.5485,15,0
1.5303,0.6285,0,0
0.3514,0.3755,1,0
0.0,0.9881,21,0
0.3215,0.9912,17,0
1.4809,0.9522,11,0
0.1601,0.644,9,0
